geo_id,outcome_count_for_model,population,model_inclusion_flag,ambientalagua_kernel_intensity,ambientalagua_nearest_source_m,ambientalagua_count_within_10000m,ambientalladrilleras_kernel_intensity,ambientalladrilleras_nearest_source_m,ambientalminasmetales_kernel_intensity,ambientalminasmetales_nearest_source_m,ambientalretc_kernel_intensity,ambientalretc_nearest_source_m,ambientalretc_count_within_5000m,ambientalretc_count_within_10000m,control_age_share_female_60plus_z,control_age_share_female_15_49_z
24048,3.0,2664,1,0.0009791252630184735,17599.12642189436,0,0.0011895414934178334,19153.403511987817,3.1466228980603975e-05,76027.21534477826,0.015229248721751383,12516.352497522186,0,0,-0.4879921530021558,0.3791457341984555
24015,5.0,11158,1,0.0007486824619318433,34671.55897695376,0,0.001707586631438308,11025.832232323988,0.00019663671074686154,10438.802069373194,0.019509561903898045,10506.178618846943,0,0,-0.013965409667766658,0.011360243664347998
24013,190.0,93009,1,0.0007013131464017994,10961.577021471236,0,0.0012994432413410625,19490.002123806837,1.2315336300355575e-05,213103.16455921074,0.023329064468587783,11385.436062376439,0,0,-0.18217502319210674,1.0910243561356263
24043,5.0,4246,1,0.000970126438476887,14768.08254834643,0,0.0032694604039292382,51542.1874325729,2.2771760747294426e-05,81128.24966872843,0.030422908040947924,35280.32188619668,0,0,0.9309059787345095,-0.45894412503446497
24012,7.0,10299,1,0.00038266638239880765,67375.27338469622,0,0.0011626901767702428,39132.494870899805,1.08816812873201e-05,233715.1233846537,0.01771295825015189,10293.621069110292,0,0,-0.08329160136783009,-0.246791359814144
24011,31.0,24663,1,0.0011697878697700794,6816.303433508884,1,0.004400491885806971,19200.88161337568,2.3212726411767493e-05,87209.99452147236,0.028504200561070708,23282.70126567224,0,0,-0.4602513158719593,0.8444480441652573
24010,19.0,15325,1,0.0005826926180850732,70162.93811502984,0,0.001863759206869088,70272.92448734424,1.811289814576195e-05,143698.5977239526,0.018481030767412983,41648.740447400014,0,0,0.05537607142035765,-0.6068792670142196
24009,2.0,2497,1,0.0021324622641112462,8221.443111971343,4,0.006315235918734778,18280.328323701935,6.138826025046299e-05,22201.756919470394,0.09882093961691368,4996.710287954617,24,47,-0.8902562843503941,1.3365720454550207
24008,21.0,11293,1,0.0008109661489361274,56840.322825201925,0,0.0026147015528697063,64964.04523928591,2.7564559130985546e-05,84349.57197998521,0.029100867908046186,11415.570714636931,0,0,0.9642970294392961,-0.44675726945431105
24007,6.0,10164,1,0.0008306337828677057,13433.851302177562,0,0.0010433056251515172,14459.844577173912,2.290557698415171e-05,108751.66511821076,0.01147683682870624,32283.240206671133,0,0,-0.864516869504912,0.5443883088593905
24041,7.0,9097,1,0.00037398553734638887,60171.984480057225,0,0.0010954106051026748,34095.0551594594,1.0552234745466585e-05,245396.9416455228,0.01672999268188022,26322.712310575946,0,0,-0.3669311630318227,0.27575447374243156
24040,17.0,18859,1,0.00042234027553770224,33885.9719457955,0,0.0010553384700379797,33973.14268644464,1.0768719586946322e-05,249637.3624184286,0.021185531165213014,11904.873481466591,0,0,-0.30443648222804204,0.14154417123694027
24039,6.0,6848,1,0.0003417871541225841,81200.6641987364,0,0.0010306584917722785,54527.16058666722,1.0046298431292877e-05,256514.29076533348,0.015620167316012526,21822.121602512896,0,0,0.0219607834992412,-0.4042999508058656
24038,1.0,7067,1,0.0003235085648763864,97584.1499154783,0,0.0009910875972753645,70478.25444319051,9.711485333475756e-06,264333.0378925375,0.017385733338128664,12441.180823822655,0,0,0.8142325738038413,-1.1075681606619414
24058,13.0,10514,1,0.0004978869052949053,51666.78244230052,0,0.001421153461781728,76005.56214088443,1.487769232334242e-05,183238.66493022375,0.019623377021395168,6149.798921867147,0,22,-0.6777266754999232,0.47220383417086226
24037,32.0,48828,1,0.00031095742408184646,116720.9845828896,0,0.0009702850850388894,88881.41597216192,9.483808712181474e-06,268332.1941392708,0.01866188691880019,8193.99591282073,0,73,-0.6123381387686709,0.41474251069208024
24036,12.0,14438,1,0.0005119770895352391,48377.911846231276,0,0.0016090886713713954,39546.35641874056,1.3608168618536068e-05,182645.8940670263,0.01970246342991903,12382.376543853074,0,0,0.00654771207250577,0.06594702952095648
24035,131.0,170195,1,0.0022725849776807066,4219.036856175161,2,0.006929994252528798,14467.340999734068,7.394483340477304e-05,17880.031289765913,0.0874616448498704,7155.47537720806,0,68,-1.6031208855388799,2.9306037191304073
24006,5.0,4689,1,0.0009193215703670709,9182.98372513302,1,0.0011764730527941214,43753.00428340842,3.7576701746178955e-05,62315.13819146291,0.013007904674698617,45945.64516748671,0,0,0.2684198963835567,-1.1895558080437563
24031,4.0,6246,1,0.0004589593216150104,82171.90119641146,0,0.00154361125425795,62948.41251214825,1.2761780597028446e-05,188371.77153945336,0.016590215589868625,29430.129674963722,0,0,-1.014609547430851,0.3109743122664612
24030,7.0,2408,1,0.0010544852179843274,39861.780700759125,0,0.0037317468945177595,49373.70519983049,3.166718605085405e-05,57715.01491031467,0.04055945880468119,21040.505732973048,0,0,3.598631610267303,-2.8814309849986484
24029,9.0,9361,1,0.0003060458122244889,104793.34477410502,0,0.0009309883414657684,79022.6395370552,9.310522697527551e-06,278278.8655191828,0.015049265930235072,16957.0400989411,0,0,1.762585497192418,-1.9089584920571165
24028,1244.0,471011,1,0.0024581088753625603,6014.804388097255,2,0.010053152563045804,7084.394673208328,0.00010296691321078452,11780.330540869085,0.09422836261337744,3802.323655320584,22,112,-0.5625700657232319,1.8919204238365441
24026,0.0,4678,1,0.00036251885492785116,70234.18181518523,0,0.0010860288884900237,43016.671210000844,1.0433033691776716e-05,246455.85814139064,0.016406921437377493,17113.24516894637,0,0,-0.07856111640334232,-0.1762595420445108
24005,16.0,9582,1,0.0006306942593956137,42363.46779566284,0,0.002353310685664673,41517.95458928562,1.618959176678896e-05,146406.28636973794,0.019434456081287788,36259.657916736636,0,0,0.48990149204933825,-0.10336012343990326
24024,78.0,50900,1,0.0019837129191159633,3248.4590951519053,6,0.015157680372077403,2964.769098136778,1.992773533439204e-05,107867.10291497002,0.027860890472420196,4326.982572707171,5,27,-0.030902043737746628,0.5291202009883011
24023,5.0,7843,1,0.0005773292333715906,49666.36406952674,0,0.002104119324587121,49440.195005840294,1.4991783817372e-05,157050.32285767098,0.018734550541104907,26011.491523378092,0,0,1.1816586785966603,-0.9087510114282659
24022,6.0,9955,1,0.0009371397504016096,25279.899070137984,0,0.0024677171980510442,24994.554253623115,5.49088648096232e-05,48590.499833270704,0.02786636500999878,10614.999221187698,0,0,-0.2527604277423946,0.1859441432922609
24021,28.0,30598,1,0.001731219528769138,4825.8304465074725,1,0.005642383160331341,19607.17429414024,6.302182244458956e-05,22546.52445434538,0.056583242689731965,13776.349854734963,0,0,-0.9670325318944976,1.6165590826344187
24017,0.0,12608,0,0.0007302915065385947,20996.558884541882,0,0.001842446613482473,87852.1066556595,2.9211481828989266e-05,96045.0718977252,0.019999523509788945,47380.7598296517,0,0,0.4334858838313237,-1.1709621646288997
24047,3.0,4646,1,0.0009179098030666443,11536.605548639905,0,0.0015735477329358472,44223.91841620846,4.965651185625371e-05,45507.96239025861,0.017447625343892853,44857.33532371999,0,0,0.7581055477465236,-0.6632002686318637
24016,11.0,20968,1,0.0003486417091117326,55991.99006656998,0,0.0009295205655482534,61937.050402649205,1.0034945780100818e-05,274088.34422203805,0.01330392694057549,38362.10733155525,0,0,0.04420693963369209,0.0954177082433885
