geo_id,population,age_share_female_60plus,age_share_female_15_49,outcome_count,outcome_missing_flag,ambientalagua_kernel_intensity,ambientalagua_nearest_source_m,ambientalagua_count_within_1000m,ambientalagua_count_within_5000m,ambientalagua_count_within_10000m,ambientalladrilleras_kernel_intensity,ambientalladrilleras_nearest_source_m,ambientalladrilleras_count_within_1000m,ambientalladrilleras_count_within_5000m,ambientalladrilleras_count_within_10000m,ambientalminasmetales_kernel_intensity,ambientalminasmetales_nearest_source_m,ambientalminasmetales_count_within_1000m,ambientalminasmetales_count_within_5000m,ambientalminasmetales_count_within_10000m,ambientalretc_kernel_intensity,ambientalretc_nearest_source_m,ambientalretc_count_within_1000m,ambientalretc_count_within_5000m,ambientalretc_count_within_10000m,observed_rate_per_100k,control_age_share_female_60plus_z,control_age_share_female_15_49_z,model_inclusion_flag,outcome_count_for_model,predicted_count,predicted_rate_per_100k
24027,5274,0.1937808115282518,0.4615092908608267,7.0,0,0.0006203993011022865,42414.40973421838,0,0,0,0.002345481648446119,44960.68505109364,0,0,0,1.57057314531353e-05,140047.60673363606,0,0,0,0.018797668570775916,44407.03351526248,0,0,0,132.72658323852863,1.2693095651538373,-0.9386543376577476,1,7.0,7.3261217971955785,138.9101592187254
24025,16233,0.11279492392040905,0.5090864288794431,17.0,0,0.0006967166366958097,22672.726838675684,0,0,0,0.0018411907328049052,24453.140402174737,0,0,0,3.883216534254654e-05,66633.67392895106,0,0,0,0.018419170973145833,55553.0083877394,0,0,0,104.72494301731042,-1.0676605519812212,0.8095823797994695,1,17.0,11.055770334272458,68.10675989818547
24056,8888,0.10441044104410441,0.513051305130513,6.0,0,0.0012356192164991258,5322.570629185708,0,0,1,0.0027451600173525404,45253.74668614797,0,0,0,4.536157860875225e-05,61568.410035671055,0,0,0,0.03072249714488224,21676.748138290226,0,0,0,67.50675067506751,-1.309607470244756,0.9552729894276121,1,6.0,6.59367681473787,74.18628279408046
24057,14885,0.13134027544507895,0.47416862613369165,7.0,0,0.0003260687107612395,105207.47945340569,0,0,0,0.0010155394862638644,77219.80042307453,0,0,0,9.815699504607287e-06,258724.32400175778,0,0,0,0.018666211259127548,8988.277097564802,0,0,34,47.027208599261,-0.5325064207480953,-0.4734831301344207,1,7.0,6.519986362431007,43.80239410433999
24048,2664,0.13288288288288289,0.49737237237237236,3.0,0,0.0009791252630184735,17599.12642189436,0,0,0,0.0011895414934178334,19153.403511987817,0,0,0,3.1466228980603975e-05,76027.21534477826,0,0,0,0.015229248721751383,12516.352497522186,0,0,0,112.61261261261261,-0.4879921530021558,0.3791457341984555,1,3.0,2.8810404749317664,108.14716497491612
24015,11158,0.1493099121706399,0.4873633267610683,5.0,0,0.0007486824619318433,34671.55897695376,0,0,0,0.001707586631438308,11025.832232323988,0,0,0,0.00019663671074686154,10438.802069373194,0,0,0,0.019509561903898045,10506.178618846943,0,0,0,44.81089801039613,-0.013965409667766658,0.011360243664347998,1,5.0,5.468513882981753,49.009803575746105
24013,93009,0.14348073842316336,0.5167456912771883,190.0,0,0.0007013131464017994,10961.577021471236,0,0,0,0.0012994432413410625,19490.002123806837,0,0,0,1.2315336300355575e-05,213103.16455921074,0,0,0,0.023329064468587783,11385.436062376439,0,0,0,204.28130611016138,-0.18217502319210674,1.0910243561356263,1,190.0,153.47467861145384,165.0105673767635
24043,4246,0.18205369759773904,0.4745642958078191,5.0,0,0.000970126438476887,14768.08254834643,0,0,0,0.0032694604039292382,51542.1874325729,0,0,0,2.2771760747294426e-05,81128.24966872843,0,0,0,0.030422908040947924,35280.32188619668,0,0,0,117.75788977861517,0.9309059787345095,-0.45894412503446497,1,5.0,7.852064993713801,184.92852081285443
24012,10299,0.1469074667443441,0.48033789688319256,7.0,0,0.00038266638239880765,67375.27338469622,0,0,0,0.0011626901767702428,39132.494870899805,0,0,0,1.08816812873201e-05,233715.1233846537,0,0,0,0.01771295825015189,10293.621069110292,0,0,0,67.967763860569,-0.08329160136783009,-0.246791359814144,1,7.0,6.369279219856353,61.84366656817506
24011,24663,0.13384422008676966,0.5100352755139278,31.0,0,0.0011697878697700794,6816.303433508884,0,0,1,0.004400491885806971,19200.88161337568,0,0,0,2.3212726411767493e-05,87209.99452147236,0,0,0,0.028504200561070708,23282.70126567224,0,0,0,125.69435997242834,-0.4602513158719593,0.8444480441652573,1,31.0,29.956847265941747,121.46473367368836
24010,15325,0.15171288743882544,0.4705383360522023,19.0,0,0.0005826926180850732,70162.93811502984,0,0,0,0.001863759206869088,70272.92448734424,0,0,0,1.811289814576195e-05,143698.5977239526,0,0,0,0.018481030767412983,41648.740447400014,0,0,0,123.98042414355629,0.05537607142035765,-0.6068792670142196,1,19.0,9.344347750839825,60.974536710210955
24009,2497,0.11894273127753303,0.5234281137364838,2.0,0,0.0021324622641112462,8221.443111971343,0,0,4,0.006315235918734778,18280.328323701935,0,0,0,6.138826025046299e-05,22201.756919470394,0,0,0,0.09882093961691368,4996.710287954617,0,24,47,80.0961153384061,-0.8902562843503941,1.3365720454550207,1,2.0,1.4573743872600975,58.36501350661181
24008,11293,0.18321083857256706,0.47489595324537326,21.0,0,0.0008109661489361274,56840.322825201925,0,0,0,0.0026147015528697063,64964.04523928591,0,0,0,2.7564559130985546e-05,84349.57197998521,0,0,0,0.029100867908046186,11415.570714636931,0,0,0,185.95590188612417,0.9642970294392961,-0.44675726945431105,1,21.0,14.612239444859927,129.39200783547258
24007,10164,0.11983471074380166,0.5018693427784336,6.0,0,0.0008306337828677057,13433.851302177562,0,0,0,0.0010433056251515172,14459.844577173912,0,0,0,2.290557698415171e-05,108751.66511821076,0,0,0,0.01147683682870624,32283.240206671133,0,0,0,59.031877213695395,-0.864516869504912,0.5443883088593905,1,6.0,9.34343320843437,91.92673365244362
24041,9097,0.13707815763438497,0.49455864570737607,7.0,0,0.00037398553734638887,60171.984480057225,0,0,0,0.0010954106051026748,34095.0551594594,0,0,0,1.0552234745466585e-05,245396.9416455228,0,0,0,0.01672999268188022,26322.712310575946,0,0,0,76.94844454215675,-0.3669311630318227,0.27575447374243156,1,7.0,5.793970732440499,63.69100508343959
24040,18859,0.13924386234689007,0.4909061986319529,17.0,0,0.00042234027553770224,33885.9719457955,0,0,0,0.0010553384700379797,33973.14268644464,0,0,0,1.0768719586946322e-05,249637.3624184286,0,0,0,0.021185531165213014,11904.873481466591,0,0,0,90.14263746752214,-0.30443648222804204,0.14154417123694027,1,17.0,16.20828944317683,85.9445858379386
24039,6848,0.15055490654205608,0.4760514018691589,6.0,0,0.0003417871541225841,81200.6641987364,0,0,0,0.0010306584917722785,54527.16058666722,0,0,0,1.0046298431292877e-05,256514.29076533348,0,0,0,0.015620167316012526,21822.121602512896,0,0,0,87.61682242990653,0.0219607834992412,-0.4042999508058656,1,6.0,3.7532471122374744,54.807930961411756
24038,7067,0.17801047120418848,0.45691240979199094,1.0,0,0.0003235085648763864,97584.1499154783,0,0,0,0.0009910875972753645,70478.25444319051,0,0,0,9.711485333475756e-06,264333.0378925375,0,0,0,0.017385733338128664,12441.180823822655,0,0,0,14.150275930380644,0.8142325738038413,-1.1075681606619414,1,1.0,4.261014069048383,60.29452482026865
