geo_id,structured_spatial_effect_mean,structured_spatial_effect_ci_lower,structured_spatial_effect_ci_upper,unstructured_spatial_effect_mean,unstructured_spatial_effect_ci_lower,unstructured_spatial_effect_ci_upper,combined_area_effect_mean,combined_area_effect_ci_lower,combined_area_effect_ci_upper
24037,-0.02133740813350997,-0.36512903693880455,0.24766255272229645,-0.00838911474792788,-0.28770188907139854,0.2338995320722963,-0.02972652288143786,-0.4176245739167173,0.32784845074556723
24036,0.014864242088564497,-0.15444427068203145,0.22018683345053824,-0.0029912115835657106,-0.25895126852831285,0.2293376409693665,0.011873030504998763,-0.26940630743701127,0.30231160005060564
24035,-0.01074295228602952,-0.2693025534310345,0.23350187979556591,-0.018196621122242847,-0.2926930368258538,0.2069801534562574,-0.028939573408272343,-0.4150649718725525,0.2771474146280917
24006,-0.0008504741396249826,-0.2582119222359351,0.24784380336353262,0.00380593808289182,-0.22804774318989612,0.24504177548891412,0.0029554639432668246,-0.3275185145325256,0.3328207719345595
24031,0.018023137624537052,-0.22403980463802095,0.3180358798394695,0.00829442429892793,-0.23250033024126718,0.2575909601978836,0.02631756192346495,-0.30483223941843524,0.4020492021512713
24030,0.009540331366918117,-0.179524448717543,0.22158633328963218,0.00448084189412311,-0.22035862528137456,0.242468166323893,0.014021173261041221,-0.2616817058101711,0.30904547901878215
24029,-0.005574468965405175,-0.28961540712704537,0.27072653517751727,0.004612954083099378,-0.21612280092809977,0.25000015747297666,-0.0009615148823057939,-0.34773336681139483,0.3582795918250179
24028,0.00483300058103039,-0.17841903530222938,0.18861981430640046,0.022331236614169962,-0.1925842835335854,0.324266057005619,0.027164237195200353,-0.2510239692866134,0.3739749088788786
24026,-0.01970825241778623,-0.298678878930308,0.2167321112466174,-0.022731748180493058,-0.31567435244620623,0.1976085842867219,-0.042440000598279355,-0.42522207589150696,0.28728392143333015
24005,0.026612835088711338,-0.18631571388056872,0.33604820650213746,0.020855868230739625,-0.19972379987842764,0.29122994704093974,0.047468703319450856,-0.25458887986418965,0.4063609766997173
24024,0.007978873072857474,-0.16457190640938527,0.19251156002166858,-0.001002961988007846,-0.2578137509964299,0.2570355568946743,0.006975911084849619,-0.2845791582231851,0.3228430860312941
24023,0.004536709037904032,-0.20966425265236477,0.21617320115596964,-0.018672096652195304,-0.2978001994009124,0.20254721745727686,-0.014135387614291157,-0.3284291606342501,0.2828775825959227
24022,-0.004461569089553042,-0.22871978706840657,0.2038340233401774,-0.010154260495434867,-0.25889724744316756,0.2213535048103772,-0.014615829584987937,-0.34013427066031304,0.29785029592473194
24021,0.010946147096434882,-0.27494802585663597,0.297349715027556,0.005479817713138508,-0.2173703783021138,0.23968488251036976,0.016425964809573382,-0.31518851038212614,0.3661338976584103
24017,0.014249708263083683,-0.20630792052014169,0.2539995943305132,0.0018491770312993405,-0.25266586761670223,0.24675687840699906,0.016098885294383018,-0.3125824785154832,0.37512498298497426
24047,-0.0041180198363734094,-0.20911541518882393,0.1972905187929624,-0.023608715868344312,-0.30376429252555553,0.1931330217815678,-0.027726735704717755,-0.347855190133008,0.2646721298190835
24016,-0.049158209863530665,-0.5403936930056213,0.3326781815041438,-0.0184832305660979,-0.2831752882799232,0.19991941427184715,-0.06764144042962852,-0.6124001776703959,0.3619823428231293
